Unnamed: 0,case_id,solver_status,termination_condition,objective_metric,objective_value,objective_unit,total_costs,operating_costs,methanol_output_period,CAPEX_technologies,CAPEX_total_technologies,OPEX_fix_technologies,CAPEX_industries,CAPEX_total_industries,OPEX_fix_industries,solver_time,start_time,end_time,time_step,direct_emitted_co2,indirect_emitted_co2,technology_symbiosis,direct_symbiosis,wt_scale,pv_scale,bess_scale,anaerobic_digester_lvl2_scale,compressor_biogas_scale,steam_generator_scale,reformer_auto_scale,reverse_water_gas_shift_scale,compressor_syngas_mp_to_hp_scale,electrolyzer_lvl2_scale,storage_o2_l_scale,compressor_h2_lp_to_mp_scale,compressor_h2_mp_to_hp_scale,cgh2_scale,biogas_storage_scale,compressor_cgh2_scale,meohsyn_syngas_scale,distillery_syngas_scale,fuel_boiler_aux_scale,storage_meoh_scale,genset_gas_scale,wt_CAPEX,pv_CAPEX,bess_CAPEX,anaerobic_digester_lvl2_CAPEX,compressor_biogas_CAPEX,steam_generator_CAPEX,reformer_auto_CAPEX,reverse_water_gas_shift_CAPEX,compressor_syngas_mp_to_hp_CAPEX,electrolyzer_lvl2_CAPEX,storage_o2_l_CAPEX,compressor_h2_lp_to_mp_CAPEX,compressor_h2_mp_to_hp_CAPEX,cgh2_CAPEX,biogas_storage_CAPEX,compressor_cgh2_CAPEX,meohsyn_syngas_CAPEX,distillery_syngas_CAPEX,fuel_boiler_aux_CAPEX,storage_meoh_CAPEX,genset_gas_CAPEX,wt_OPEX_fix,pv_OPEX_fix,bess_OPEX_fix,anaerobic_digester_lvl2_OPEX_fix,compressor_biogas_OPEX_fix,steam_generator_OPEX_fix,reformer_auto_OPEX_fix,reverse_water_gas_shift_OPEX_fix,compressor_syngas_mp_to_hp_OPEX_fix,electrolyzer_lvl2_OPEX_fix,storage_o2_l_OPEX_fix,compressor_h2_lp_to_mp_OPEX_fix,compressor_h2_mp_to_hp_OPEX_fix,cgh2_OPEX_fix,biogas_storage_OPEX_fix,compressor_cgh2_OPEX_fix,meohsyn_syngas_OPEX_fix,distillery_syngas_OPEX_fix,fuel_boiler_aux_OPEX_fix,storage_meoh_OPEX_fix,genset_gas_OPEX_fix,optimization_mode,bo_penalized,bo_objective,_termination_condition_norm,abs_cost_gap,rel_cost_gap,layout_distance
315.0,315.0,ok,optimal,lcom,778.0961592932637,USD/ton,-23955723.60498775,-36175787.46257985,24754.09664509999,8292420.989706064,165999914.1259725,3927642.867886037,0,0,0,48.91578793525696,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.0,49.71410722642064,158.373438553369,20000,205479.4520547945,1665267.036360711,13966.25090061672,12540038.28734183,198058.7104079367,8.623699854226443,0,305072.0060431147,60667.72847448304,0.0,7.0,162069.5032104047,24959.02877922324,24959.02877922324,118545.8272192343,288,0.0,0,38749503.15175793,30067539.05877472,17237350.05768161,1999119.308959896,897925.0322998163,1063468.710043562,5734707.685855009,1950454.533705338,21244118.71790709,0,2152323.065065953,729356.0034331812,0,700000,1440121.550521556,22166261.75496508,18731675.38771877,454820.5854973368,681169.5217856169,0,0,273521.9631357712,360728.0918859576,603169.5106371151,83832.3545775171,26931.60079754038,42529.03635872844,286669.9195931409,81791.61459952255,424785.3876783026,0,90256.89939929321,30585.28363915572,0,0,0,664836.028938302,936369.9374751184,1204.819061672838,20430.42010889874,0,BO,0.0,778.0961592932637,optimal,16.903827211049588,2.2207038219643884,0.2666066958270414
316.0,316.0,ok,optimal,lcom,791.8898437999558,USD/ton,-25015681.82593561,-38254613.87051309,26144.5172767,9012962.613786526,180423910.1905748,4225969.430790958,0,0,0,50.9172248840332,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.0,55.03764718707716,192.888357302776,20000,205479.4520547945,1577789.064107217,13232.5912039476,12540038.28734183,211688.9686392268,9.2688365732318,0,327894.3626146482,65206.26529268573,0.0,6.999999999999999,174193.8801390319,26676.69121760991,26676.69121760991,112318.5085022826,288,0.0,0,42464726.57064252,35204389.59639326,17237350.05768161,1999119.308959896,859987.4706073956,1013055.565873055,5734707.685855009,2039396.63662717,22669250.03870207,0,2258913.63336895,765476.2644492768,0,699999.9999999999,1511441.408114952,23262054.04664904,21584201.61120817,438670.7736567571,681169.5217856169,0,0,299746.691722393,422356.2247742633,603169.5106371151,83832.3545775171,25793.73379308072,40512.97098591885,286669.9195931409,85521.36993508202,453281.5078814958,0,94726.73683047935,32099.97389068916,0,0,0,697702.2922621653,1078963.685564845,1162.03823387305,20430.42010889874,0,BO,0.0,791.8898437999558,optimal,30.69751171774169,4.03281935772655,0.46587052162570997
322.0,322.0,ok,optimal,lcom,777.8889969929347,USD/ton,-23637543.90296397,-35684114.16704315,24421.1725796,8129576.267339963,162740044.6665954,3916993.996739217,0,0,0,48.28594851493835,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.0,43.69502384104617,154.3689246220571,20000,205479.4520547945,1716291.854007507,14394.18551401707,12540038.28734183,195753.5689771313,9.38516289936608,0,332009.5227279745,66024.62099704039,0.0,6.999999999999999,176380.0589492364,24668.53869578712,24668.53869578712,122178.1450905284,288,0.0,0,34500329.32571185,29457772.91451048,17237350.05768161,1999119.308959896,919868.7891619537,1092751.085666875,5734707.685855009,1935215.697567732,22925144.61744879,0,2277868.988614244,771899.6505894708,0,699999.9999999999,1524124.455576372,21978921.11370048,18539690.3335441,464111.1202208949,681169.5217856169,0,0,243528.2271631196,353412.5687469627,603169.5106371151,83832.3545775171,27589.76320369997,43700.06396470552,286669.9195931409,81152.57944603734,458398.231210013,0,95521.62288602605,32369.33629546389,0,0,0,659217.0928554409,926772.8763765923,1229.429674483681,20430.42010889874,0,BO,0.0,777.8889969929347,optimal,16.696664910720642,2.1934883218079086,0.2573963479116561
325.0,325.0,ok,optimal,lcom,777.773388451211,USD/ton,-22440502.82484252,-33702207.92819753,23182.25437529999,7558873.394915923,151315561.0409522,3702831.708439091,0,0,0,49.73936414718628,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.0,42.31321917355393,121.7990184685465,20000,205479.4520547945,1600419.893353086,13422.39129752752,12540038.28734183,185971.7284097513,8.000793882729972,0,283036.0843954555,56285.58496500536,0.0,7.0,150362.9198350857,23435.84744109728,23435.84744109728,113929.5356318844,288,0.0,0,33516828.63302129,24370645.79942266,17237350.05768161,1999119.308959896,869841.4991513658,1026123.813503456,5734707.685855009,1869878.241212694,19857941.38144777,0,2046877.683367685,693623.8108900612,0,700000,1369567.938449386,21177069.8068983,17721939.34505777,442876.5142476345,681169.5217856169,0,0,236585.9693706371,292380.9807004707,603169.5106371151,83832.3545775171,26089.28715605364,41035.58154640769,286669.9195931409,78412.67653789205,397068.1693235392,0,85835.08495956875,29086.86690050421,0,0,0,635167.0457836142,885894.662009222,1173.179234509157,20430.42010889874,0,BO,0.0,777.773388451211,optimal,16.581056368996883,2.1783004991182717,0.0815848255548385
326.0,326.0,ok,optimal,lcom,776.359017664066,USD/ton,-22758267.44283302,-34230723.82432698,23483.3473053,7704200.935099928,154224766.8350901,3768255.446394037,0,0,0,49.05912661552429,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.0,40.37147664149357,139.6711598186895,20000,205479.4520547945,1864758.393213145,15639.34373285968,12540038.28734183,188184.3636884791,8.304354383659104,0,293774.8406763246,58421.13308904181,0.0,6.999999999999999,156067.8841092974,23714.68005333608,23714.68005333608,132747.0738690459,288,0.0,0,32129327.04433493,27191765.01672387,17237350.05768161,1999119.308959896,982994.3624657897,1177469.138469642,5734707.685855009,1884754.786908559,20534764.99921344,0,2098590.302264567,711147.6248833555,0,699999.9999999999,1404168.904315552,21359442.28341394,17907355.70704594,490640.0907683549,681169.5217856169,0,0,226791.9816411641,326226.6822143393,603169.5106371151,83832.3545775171,29483.09803587461,47088.0123959687,286669.9195931409,79036.51917103297,410601.5517471687,0,88003.63517268782,29821.7217846785,0,0,0,640636.9709525318,895163.3634834939,1299.704878424124,20430.42010889874,0,BO,0.0,776.359017664066,optimal,15.16668558185188,1.9924905891214064,0.21874832876047884
327.0,327.0,ok,optimal,lcom,777.0780927604109,USD/ton,-22933911.74627175,-34520010.14499698,23678.50236730001,7792153.717800716,155985429.2994772,3793944.680924512,0,0,0,46.54311227798462,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.0,42.81943241674957,136.8699206683628,20000,205479.4520547945,1712585.460053969,14363.10075297793,12540038.28734183,189866.1818786422,8.53487382133833,0,301929.6963036648,60042.83733311515,0.0,4.478342646207562,160400.1511613219,23926.61998025595,23926.61998025595,121914.2969943199,288,0.0,0,33877493.74607104,26754597.35172028,17237350.05768161,1999119.308959896,918279.2539004117,1090627.004433237,5734707.685855009,1896023.82391853,21047079.6607846,0,2137444.201749712,724314.0148673849,0,447834.2646207561,1430166.087953335,21497668.82268412,18048115.12909118,463439.3634004655,681169.5217856169,0,0,239131.804071268,320981.8679539263,603169.5106371151,83832.3545775171,27542.08803308153,43615.12011336211,286669.9195931409,79509.08221523598,420845.5060866511,0,89632.95957756917,30373.84964853336,0,0,0,644782.8203735187,902199.7277430383,1227.650191654915,20430.42010889874,0,BO,0.0,777.0780927604109,optimal,15.885760678196789,2.086957528163988,0.3958533069695242
329.0,329.0,ok,optimal,lcom,766.7357917034412,USD/ton,-23373086.92167174,-34825942.13600409,23929.56285232,7682153.307023373,153783411.485195,3770701.907308982,0,0,0,49.82908487319946,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.0,39.3825439769737,146.9118349243682,20000,205479.4520547945,1661467.065708126,13934.38133111815,12540038.28734183,192522.479347197,7.775570436032201,0,275068.5797450751,54701.13801748654,0.0,7.0,146130.1829895712,24261.36216264865,24261.36216264865,118275.31765255,288,0.0,0,31420120.63035011,28313752.62943842,17237350.05768161,1999119.308959896,896285.4787569431,1061284.405583827,5734707.685855009,1913755.515852769,19354122.4413712,0,2008090.770298296,680480.1205394062,0,700000,1343615.575490473,21715303.02986949,18270129.35245389,454124.9609080487,681169.5217856169,0,0,221785.8908569314,339687.4596282489,603169.5106371151,83832.3545775171,26882.42542107297,42441.68412832499,286669.9195931409,80252.65438665567,386994.0906280694,0,84208.5696061194,28535.69093767161,0,0,0,651310.3559438253,913297.9045022316,1202.976353159488,20430.42010889874,0,BO,0.0,766.7357917034412,optimal,5.543459621227157,0.7282600451403949,0.170460231163783
330.0,330.0,ok,optimal,lcom,776.6331447699077,USD/ton,-23728248.0962463,-35650456.25286502,24489.7179324,7952885.452184634,159203000.3970096,3969322.704434094,0,0,0,47.99983048439026,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.0,40.34162986969701,144.852200534446,20000,205479.4520547945,1681814.679171883,14105.03256521971,12540038.28734183,205512.8746907877,8.213207810287818,0,290550.4394967419,57779.9169453748,0.0,7.0,154354.9209826441,25898.39014574702,25898.39014574702,119723.808865869,288,0.0,0,32107948.26390147,27995748.58606926,17237350.05768161,1999119.308959896,905056.0621798736,1072974.854935781,5734707.685855009,1999337.167285611,20331807.10282267,0,2083129.693977164,705908.5008623523,0,700000,1393824.195595823,22768013.78054283,21029061.89336108,457843.7211935393,681169.5217856169,0,0,226641.0747773855,335872.2823517734,603169.5106371151,83832.3545775171,27145.48285127169,42909.19534030861,286669.9195931409,83841.49038863512,406543.3203916804,0,87355.30008326887,29602.02098911526,0,0,0,682884.4681164182,1051213.036883882,1212.82734368326,20430.42010889874,0,BO,0.0,776.6331447699077,optimal,15.440812687693665,2.0285034460943505,0.23466776647277496
332.0,332.0,ok,optimal,lcom,779.956081205848,USD/ton,-23110513.7977737,-34749790.78553201,23917.12397755,7720270.278572057,154546447.2755485,3919006.70918625,0,0,0,46.80103707313538,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.0,37.66241911683313,136.5508705407621,20000,205479.4520547945,1729298.332044438,14503.26816060217,12540038.28734183,206402.6266168604,7.673223476506305,0,271447.9537048871,53981.12715722186,0.0,4.400619655815868,144206.7254057213,26010.51520141095,26010.51520141095,123104.040856451,288,0.0,0,30182266.46064885,26704692.7455974,17237350.05768161,1999119.308959896,925441.3676217915,1100201.290131393,5734707.685855009,2005132.534881297,19124694.7704882,0,1990342.805624659,674465.8818809357,0,440061.9655815868,1331740.394287777,22839436.25939156,21109159.5530061,466464.6721247604,681169.5217856169,0,0,213048.2226280904,320383.1494054001,603169.5106371151,83832.3545775171,27756.90238914949,43998.0041048893,286669.9195931409,84084.51705993539,382406.5846263252,0,83464.31504318204,28283.48598648587,0,0,0,685026.6532868193,1055217.005509287,1235.664230013557,20430.42010889874,0,BO,0.0,779.956081205848,optimal,18.763749123633943,2.4650470495815933,0.4325624516114106
334.0,334.0,ok,optimal,lcom,789.4902652342365,USD/ton,-24544706.02474957,-37401450.21408182,25601.4384232,8623502.488913963,172627592.6417442,4233241.700418294,0,0,0,46.87950348854065,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1.0,1.0,0.0,46.68460763226601,166.0826238691181,20000,205479.4520547945,1635309.321603478,13715.00173061995,12540038.28734183,227153.3147160135,8.974146612833572,0,317469.4105756005,63133.12142128419,0.0,6.999999999999999,168655.6243682878,28625.482351246,28625.482351246,116413.2190549274,288,0.0,0,36617677.87401088,31232831.98207906,17237350.05768161,1999119.308959896,884978.8680581707,1046234.749774934,5734707.685855009,2138049.074372465,22019542.67088201,0,2210538.806362378,749083.5253363856,0,699999.9999999999,1479073.762195225,24482072.39442306,22965840.18649535,449322.1734721282,681169.5217856169,0,0,258474.0015464783,374708.4143822581,603169.5106371151,83832.3545775171,26543.30454264883,41839.83533574837,286669.9195931409,89658.3246950772,440290.326661808,0,92698.15572875866,31412.55022785453,0,0,0,734294.4864053328,1148029.842199349,1190.25377630947,20430.42010889874,0,BO,0.0,789.4902652342365,optimal,28.297933152022438,3.7175799018645477,0.44257279451251896
